CO2_Air=427,EULER,RUNGE-KUTTAR,CO2_Top=417,EULER,RUNGE-KUTTAR,
h,,,h,"","",""
5,872.5738,832.9821,5,418.9201,418.6724,""
10,1318.1476,1168.8931,10,420.8403,419.93,""
50,4882.7379,2070.4902,50,436.2014,416.5483,""
85,8001.7544," -1608.7074",85,449.6424,345.7756,""
100,9338.4758,-6348.5204,100,455.4028," 262.005",""
,,,,,,
CO2_Air=443,EULER,RUNGE-KUTTAR,CO2_Top=420,EULER,RUNGE-KUTTAR,""
h,,,h,,,""
5,535.0683,533.7867,5," 435.1534"," 434.842",""
10,627.1366," 622.0576",10,450.3069,449.0782,""
50,1363.683,1245.5861,50,571.5344,543.8884,""
85,2008.1611,1686.7253,85,677.6085,604.0888,""
100,2284.366,1850.2336,100,723.0688,624.5459,""
